詞彙;漢語拼音;詞類;編號
電視台;diànshìtái ;N;2903
電台;diàntái ;N;2904
電線;diànxiàn ;N;2905
電子;diànzĭ;N;2906
雕刻;diāokè  ;N;2907
雕刻;diāokè  ;V;2908
吊;diào ;V;2909
釣;diào ;V;2910
跌;dié ;Vp;2911
跌倒;diédăo ;Vp;2913
丁;dīng ;N;2914
盯;dīng ;V;2915
頂;dǐng ;M;2916
訂婚;dìnghūn ;V-sep;2917
訂位;dìngwèi ;V-sep;2918
定期;dìngqí ;Adv;2919
定期;dìngqí ;Vs-attr;2920
丟臉;diūliăn ;Vs-sep;2921
丟人;diūrén ;Vs;2922
冬季;dōngjì ;N;2923
懂得;dǒngde ;Vst;2924
洞;dòng ;N;2925
凍;dòng ;Vs;2926
棟;dòng ;M;2927
動不動;dòngbúdòng ;Adv;2928
動詞;dòngcí ;N;2929
動人;dòngrén ;Vs;2930
動身;dòngshēn ;Vi;2931
動手;dòngshǒu ;Vi;2932
動作;dòngzuò ;N;2933
鬥爭;dòuzhēng ;Vi;2934
毒;dú ;N;2935
毒;dú ;Vs;2936
獨立;dúlì ;Vs;2937
獨自;dúzì ;Adv;2938
賭;dŭ ;V;2939
度;dù ;V;2940
度過;dùguò ;V;2941
端;duān ;V;2942
斷;duàn ;Vp;2943
鍛鍊;duànliàn ;V;2944
堆;duī ;V;2945
隊;duì ;M;2946
隊員;duìyuán ;N;2947
對岸;duìàn ;N;2948
對策;duìcè ;N;2949
對待;duìdài ;V;2950
對付;duìfù ;V;2951
對抗;duìkàng ;V;2952
對立;duìlì ;Vs;2953
對於;duìyú ;Prep;2954
蹲;dūn ;Vi;2955
頓;dùn ;M;2956
噸;dùn ;M;2957
多半/多半兒;duōbàn/duōbànr;Det;2958
多多;duōduō ;Adv;2959
多少;duōshăo ;Adv;2960
多數;duōshù ;Det;2961
多謝;duōxiè ;Vst;2962
奪;duó ;V;2963
躲;duŏ;Vi;2964
鵝;é;N;2965
惡劣;èliè;Vs;2966
而已;éryĭ;Ptc;2967
發;fā ;V;2968
發;fā ;Vp;2969
發動;fādòng ;V;2970
發抖;fādŏu ;Vi;2971
發起;fāqĭ ;Vp;2972
發射;fāshè ;V;2973
發行;fāxíng ;V;2974
發言;fāyán ;V-sep;2975
發揚;fāyáng ;V;2976
發音;fāyīn ;Vi;2977
發展;fāzhăn ;V;2978
罰;fá ;V;2979
法子;fázi ;N;2980
法院;făyuàn ;N;2981
髮型;făxíng ;N;2982
番;fān ;M;2983
翻;fān ;V;2984
煩;fán ;Vs;2985
煩惱;fánnăo ;N;2986
繁忙;fánmáng ;Vs;2987
繁榮;fánróng ;Vs;2988
繁殖;fánzhí ;V;2989
反;făn ;V;2990
反;făn ;Vst;2991
反對;fănduì ;Vst;2992
反覆;fănfù ;Adv;2993
反抗;fănkàng ;V;2994
反面;fănmiàn ;N;2995
反問;fănwèn ;V;2996
反映;fănyìng ;V;2997
反應;fănyìng ;Vi;2998
反正;fănzhèng ;Adv;2999
返回;fănhuí ;V;3000
犯錯;fàncuò ;V-sep;3001
犯法;fànfă ;V-sep;3002
犯人;fànrén ;N;3003
犯罪;fànzuì ;V-sep;3004
方;fāng ;Vs-attr;3005
方案;fāngàn ;N;3006
防;fáng ;V;3007
防守;fángshǒu ;V;3008
防止;fángzhĭ ;V;3009
放大;fàngdà ;V;3010
放棄;fàngqì ;V;3011
放手;fàngshŏu ;Vi;3012
放學;fàngxué ;Vp-sep;3013
非法;fēifă ;Vs-attr;3014
肥;féi ;Vs;3015
肥胖;féipàng ;Vs;3016
肥皂;féizào ;N;3017
肺;fèi ;N;3018
費;fèi ;Vst;3019
廢話;fèihuà ;N;3020
廢氣;fèiqì ;N;3021
廢水;fèishuǐ ;N;3022
廢物;fèiwù ;N;3023
分別;fēnbié ;Adv;3024
分別;fēnbié ;N;3025
分別;fēnbié ;V;3026
分布/分佈;fēnbù ;Vs;3027
分工;fēngōng ;Vi;3028
分明;fēnmíng ;Vs-pred;3029
分配;fēnpèi ;V;3030
分散;fēnsàn ;Vs;3031
分手;fēnshǒu ;Vp;3032
分數;fēnshù ;N;3033
分析;fēnxī ;N;3034
分析;fēnxī ;V;3035
紛紛;fēnfēn ;Adv;3036
吩咐;fēnfù ;V;3037
粉筆;fěnbĭ ;N;3038
份/份兒;fèn/fènr;N;3039
奮鬥;fèndòu ;Vi;3040
憤怒;fènnù ;Vs;3041
封;fēng ;V;3042
封建;fēngjiàn ;Vs-attr;3043
蜂蜜;fēngmì ;N;3044
風氣;fēngqì ;N;3045
風趣;fēngqù ;Vs;3046
風險;fēngxiăn ;N;3047
瘋;fēng ;Vp;3048
瘋狂;fēngkuáng ;Vs;3049
瘋子;fēngzi ;N;3050
逢;féng ;Vst;3051
縫;féng ;V;3052
諷刺;fèngcì ;V;3053
否定;fŏudìng ;V;3054
否認;fŏurèn ;V;3055
夫妻;fūqī ;N;3056
夫人;fūrén ;N;3057
幅;fú;M;3058
扶;fú ;V;3059
服;fú ;V;3060
服;fú ;Vst;3061
浮;fú ;Vi;3062
符號;fúhào ;N;3063
付;fù ;M;3064
赴;fù ;V;3065
副;fù ;M;3066
輔導;fŭdăo ;V;3067
富;fù ;Vs-attr;3068
富裕;fùyù ;Vs;3069
附加;fùjiā ;Vpt;3070
婦女;fùnǚ ;N;3071
複雜;fùzá ;Vs;3072
複製;fùzhì ;V;3073
該;gāi ;Det;3074
改革;găigé ;V;3075
改造;găizào ;V;3076
改正;găizhèng ;V;3077
蓋(子);gài(zi);N;3078
肝;gān ;N;3079
乾杯;gānbēi ;Vi;3080
乾脆;gāncuì ;Vs;3081
趕;găn ;Vs;3082
趕緊;gănjĭn ;Adv;3083
感到;găndào ;Vpt;3084
感恩;gănēn ;Vs;3085
感激;gănjī ;Vst;3086
感情;gănqíng ;N;3087
感染;gănrăn ;Vpt;3088
感受;gănshòu ;N;3089
感受;gănshòu ;Vst;3090
幹;gàn ;V;3091
幹部;gànbù ;N;3092
幹嘛;gànmá;Adv;3093
幹嘛;gànmá;Vi;3094
幹什麼;gànshénme ;;3095
鋼;gāng ;N;3096
鋼筆;gāngbĭ;N;3097
剛好;gānghăo ;Vs;3098
港幣;găngbì ;N;3099
港口;găngkŏu ;N;3100
高潮;gāocháo ;N;3101
高大;gāodà ;Vs;3102
高度;gāodù ;N;3103
高度;gāodù ;Vs-attr;3104
高峰;gāofēng ;N;3105
高貴;gāoguì ;Vs;3106
高級;gāojí ;Vs;3107
高明;gāomíng ;Vs;3108
高手;gāoshŏu ;N;3109
高原;gāoyuán ;N;3110
告;gào ;V;3111
告辭;gàocí ;Vi;3112
割;gē ;V;3113
擱;gē ;V;3114
歌劇;gējù ;N;3115
隔;gé ;Vst;3116
革命;gémìng ;N;3117
各;gè ;Adv;3118
各行各業;gèhánggèyè ;N;3119
個別;gèbié  ;Vs-attr;3120
個性;gèxìng ;N;3121
個子/個兒;gèzi/gèr;N;3122
根本;gēnběn ;Adv;3123
根本;gēnběn ;N;3124
根據;gēnjù ;N;3125
供;gōng ;V;3126
工程;gōngchéng ;N;3127
工夫;gōngfu ;N;3128
工會;gōnghuì ;N;3129
工錢;gōngqián ;N;3130
工資;gōngzī ;N;3131
公布/公佈;gōngbù ;V;3132
公公;gōnggōng;N;3133
公開;gōngkāi ;Vs;3134
公立;gōnglì ;Vs-attr;3135
公平;gōngpíng ;Vs;3136
公式;gōngshì ;N;3137
公用;gōngyòng ;Vs-attr;3138
公元;gōngyuán ;N;3139
供應;gōngyìng ;V;3140
共;gòng ;Adv;3141
共同;gòngtóng ;Adv;3142
構成;gòuchéng ;V;3143
構造;gòuzào ;N;3144
孤單;gūdān ;Vs;3145
估計;gūjì ;V;3146
姑姑;gūgu;N;3147
姑丈;gūzhàng;N;3148
古典;gŭdiăn ;Vs;3149
鼓;gŭ ;N;3150
鼓勵;gŭlì ;N;3151
鼓勵;gŭlì ;V;3152
鼓舞;gŭwŭ ;V;3153
鼓掌;gŭzhăng ;Vi;3154
骨頭;gŭtou ;N;3155
固定;gùdìng ;Vs;3156
顧問;gùwèn ;N;3157
故鄉;gùxiāng ;N;3158
瓜;guā ;N;3159
瓜子;guāzi ;N;3160
掛號信;guàhàoxìn ;N;3161
怪;guài ;Adv;3162
官方;guānfāng ;N;3163
官員;guānyuán ;N;3164
關;guān ;M;3165
關鍵;guānjiàn ;N;3166
關上;guānshàng ;V;3167
關於;guānyú ;Prep;3168
觀光;guānguāng ;Vi;3169
管道;guăndào ;N;3170
管制;guănzhì ;V;3171
慣;guàn ;Vp;3172
慣例;guànlì ;N;3173
冠軍;guànjūn ;N;3174
罐頭;guàntou ;N;3175
罐子;guànzi ;N;3176
光;guāng ;Adv;3177
光;guāng ;Vp;3178
光亮;guāngliàng ;Vs;3179
光臨;guānglín ;V;3180
光明;guāngmíng ;Vs;3181
光榮;guāngróng ;Vs;3182
光是;guāngshì ;Adv;3183
光線;guāngxiàn ;N;3184
廣;guăng ;Vs;3185
廣大;guăngdà ;Vs;3186
廣泛;guăngfàn ;Vs;3187
廣告;guănggào ;Vi;3188
廣闊;guăngkuò ;Vs;3189
規定;guīdìng ;N;3190
規定;guīdìng ;V;3191
規畫/規劃;guīhuà ;N;3192
規畫/規劃;guīhuà ;V;3193
規律;guīlǜ ;N;3194
規則;guīzé ;N;3195
跪;guì ;Vi;3196
櫃臺/櫃台;guìtái ;N;3197
貴族;guìzú ;N;3198
滾;gŭn ;Vi;3199
鍋(子);guō(zi);N;3200
國會;guóhuì ;N;3201
國籍;guójí ;N;3202
國際;guójì ;N;3203
國立;guólì ;Vs-attr;3204
國旗;guóqí ;N;3205
國小;guóxiăo ;N;3206
國中;guózhōng ;N;3207
裹;guŏ;V;3208
果然;guŏrán ;Adv;3209
過;guò ;Adv;3210
過程;guòchéng ;N;3211
過度;guòdù ;Vs;3212
過渡;guòdù ;Vi;3213
過節;guòjié ;V-sep;3214
過濾;guòlǜ;V;3215
過期;guòqí ;Vp;3216
過世;guòshì ;Vp;3217
還不如;háibùrú ;Conj;3218
還有;háiyŏu  ;Conj;3219
海關;hăiguān  ;N;3220
海軍;hăijūn  ;N;3221
海外;hăiwài  ;N;3222
海峽;hăixiá  ;N;3223
海鮮;hăixiān  ;N;3224
害處;hàichù ;N;3225
含;hán ;V;3226
含;hán ;Vst;3227
含量;hánliàng  ;N;3228
寒冷;hánlěng  ;Vs;3229
喊;hăn ;V;3230
汗;hàn ;N;3231
行業;hángyè ;N;3232
毫無;háowú ;Vst;3233
好;hăo ;Adv;3234
好;hăo ;Conj;3235
好在;hăozài ;Adv;3236
耗;hào ;Vst;3237
好客;hàokè ;Vs;3238
好奇;hàoqí ;Vs;3239
號召;hàozhào ;V;3240
合;hé ;Vi;3241
合;hé ;Vs;3242
合不來;hébùlái ;Vs;3243
合成;héchéng ;Vst;3244
合得來;hédelái ;Vs;3245
合法;héfă ;Vs;3246
合格;hégé ;Vp;3247
合乎;héhū ;Vst;3248
合理;hélĭ ;Vs;3249
合適;héshì ;Vs;3250
合算;hésuàn ;Vs;3251
和好;héhăo ;Vp;3252
和平;hépíng ;Vs;3253
和氣;héqì ;Vs;3254
何必;hébì ;Adv;3255
何況;hékuàng ;Conj;3256
河流;héliú ;N;3257
嘿;hēi ;Ptc;3258
黑暗;hēiàn ;Vs;3259
黑夜;hēiyè ;N;3260
痕跡;hénjī ;N;3261
恨;hèn ;N;3262
橫;héng ;Vs-attr;3263
喉嚨;hóulóng ;N;3264
猴子;hóuzi ;N;3265
後代;hòudài ;N;3266
後方;hòufāng ;N;3267
後果;hòuguŏ;N;3268
後悔;hòuhuĭ ;Vs;3269
後年;hòunián ;N;3270
後頭;hòutou ;N;3271
後退;hòutuì ;Vi;3272
後院;hòuyuàn ;N;3273
呼;hū ;V;3274
呼吸;hūxī ;Vi;3275
忽略;hūlüè ;Vst;3276
忽視;hūshì ;Vst;3277
蝴蝶;húdié ;N;3278
鬍子;húzi ;N;3279
戶;hù ;M;3280
戶外;hùwài ;N;3281
互助;hùzhù ;Vi;3282
花草;huācăo ;N;3283
花費;huāfèi ;N;3284
花費;huāfèi ;V;3285
花盆;huāpén ;N;3286
花瓶;huāpíng ;N;3287
花色;huāsè ;N;3288
花生;huāshēng ;N;3289
划;huá ;V;3290
滑;huá ;Vp;3291
滑;huá ;Vs;3292
華僑;huáqiáo ;N;3293
華人;huárén ;N;3294
化;huà ;Vst;3295
化;huà ;Vp;3296
化學;huàxué ;N;3297
化妝;huàzhuāng ;Vi;3298
化裝;huàzhuāng ;Vi;3299
懷念;huáiniàn ;Vst;3300
懷孕;huáiyùn ;Vi;3301
壞蛋;huàidàn ;N;3302
歡呼;huānhū ;Vi;3303
歡樂;huānlè ;Vs;3304
歡喜;huānxĭ ;Vs;3305
緩和;huănhé ;V;3306
緩慢;huănmàn ;Vs;3307
幻想;huànxiăng ;N;3308
幻想;huànxiăng ;Vi;3309
慌;huāng ;Vs;3310
皇帝;huángdì ;N;3311
黃豆;huángdòu ;N;3312
黃昏;huánghūn ;N;3313
灰;huī ;Vs-attr;3314
灰色;huīsè ;N;3315
灰心;huīxīn ;Vs;3316
揮;huī ;V;3317
回;huí ;V;3318
回電;huídiàn ;V-sep;3319
回教/伊斯蘭教;huíjiào /yīsīlánjiào;N;3320
回收;huíshōu ;V;3321
回頭;huítóu ;V-sep;3322
回信;huíxìn ;V-sep;3323
回憶;huíyì ;Vst;3324
匯款;huìkuăn ;V-sep;3325
會員;huìyuán ;N;3326
昏倒;hūndăo ;Vp;3327
昏迷;hūnmí ;Vp;3328
混;hùn ;V;3329
混合;hùnhé ;V;3330
活該;huógāi ;Vs;3331
活力;huólì ;N;3332
活潑;huópō ;Vs;3333
活躍;huóyuè ;Vs;3334
火柴;huŏchái ;N;3335
火腿;huŏtuĭ ;N;3336
火災;huŏzāi ;N;3337
禍;huò ;N;3338
或多或少;huòduōhuòshăo ;Adv;3339
或者;huòzhě ;Conj;3340
